País,Año,Horas,Metrica,Porcentaje_x,Red,Porcentaje_y
Alemania,,,Uso de redes sociales para mantenerse informado,32.0,Facebook,63.0
Alemania,,,Uso de redes sociales para mantenerse informado,32.0,FB Messenger,40.0
Alemania,,,Uso de redes sociales para mantenerse informado,32.0,Instagram,37.0
Alemania,,,Uso de redes sociales para mantenerse informado,32.0,Snapchat,16.0
Alemania,,,Uso de redes sociales para mantenerse informado,32.0,Twitter,20.0
Alemania,,,Uso de redes sociales para mantenerse informado,32.0,WhatsApp,78.0
Alemania,,,Seguir marcas que les gustan,26.0,Facebook,63.0
Alemania,,,Seguir marcas que les gustan,26.0,FB Messenger,40.0
Alemania,,,Seguir marcas que les gustan,26.0,Instagram,37.0
Alemania,,,Seguir marcas que les gustan,26.0,Snapchat,16.0
Alemania,,,Seguir marcas que les gustan,26.0,Twitter,20.0
Alemania,,,Seguir marcas que les gustan,26.0,WhatsApp,78.0
Alemania,,,Descubrir marcas a través de comentarios,14.0,Facebook,63.0
Alemania,,,Descubrir marcas a través de comentarios,14.0,FB Messenger,40.0
Alemania,,,Descubrir marcas a través de comentarios,14.0,Instagram,37.0
Alemania,,,Descubrir marcas a través de comentarios,14.0,Snapchat,16.0
Alemania,,,Descubrir marcas a través de comentarios,14.0,Twitter,20.0
Alemania,,,Descubrir marcas a través de comentarios,14.0,WhatsApp,78.0
Alemania,,,Investigar productos/marcas usando redes sociales,24.0,Facebook,63.0
Alemania,,,Investigar productos/marcas usando redes sociales,24.0,FB Messenger,40.0
Alemania,,,Investigar productos/marcas usando redes sociales,24.0,Instagram,37.0
Alemania,,,Investigar productos/marcas usando redes sociales,24.0,Snapchat,16.0
Alemania,,,Investigar productos/marcas usando redes sociales,24.0,Twitter,20.0
Alemania,,,Investigar productos/marcas usando redes sociales,24.0,WhatsApp,78.0
Alemania,,,Motivar compras a través de 'Me gusta',10.0,Facebook,63.0
Alemania,,,Motivar compras a través de 'Me gusta',10.0,FB Messenger,40.0
Alemania,,,Motivar compras a través de 'Me gusta',10.0,Instagram,37.0
Alemania,,,Motivar compras a través de 'Me gusta',10.0,Snapchat,16.0
Alemania,,,Motivar compras a través de 'Me gusta',10.0,Twitter,20.0
Alemania,,,Motivar compras a través de 'Me gusta',10.0,WhatsApp,78.0
Alemania,,,Motivar compras a través del botón 'Comprar',4.0,Facebook,63.0
Alemania,,,Motivar compras a través del botón 'Comprar',4.0,FB Messenger,40.0
Alemania,,,Motivar compras a través del botón 'Comprar',4.0,Instagram,37.0
Alemania,,,Motivar compras a través del botón 'Comprar',4.0,Snapchat,16.0
Alemania,,,Motivar compras a través del botón 'Comprar',4.0,Twitter,20.0
Alemania,,,Motivar compras a través del botón 'Comprar',4.0,WhatsApp,78.0
Arabia Saudita,,,Uso de redes sociales para mantenerse informado,51.0,Facebook,64.0
Arabia Saudita,,,Uso de redes sociales para mantenerse informado,51.0,FB Messenger,41.0
Arabia Saudita,,,Uso de redes sociales para mantenerse informado,51.0,Instagram,62.0
Arabia Saudita,,,Uso de redes sociales para mantenerse informado,51.0,Snapchat,47.0
Arabia Saudita,,,Uso de redes sociales para mantenerse informado,51.0,Twitter,58.0
Arabia Saudita,,,Uso de redes sociales para mantenerse informado,51.0,WhatsApp,73.0
Arabia Saudita,,,Seguir marcas que les gustan,57.0,Facebook,64.0
Arabia Saudita,,,Seguir marcas que les gustan,57.0,FB Messenger,41.0
Arabia Saudita,,,Seguir marcas que les gustan,57.0,Instagram,62.0
Arabia Saudita,,,Seguir marcas que les gustan,57.0,Snapchat,47.0
Arabia Saudita,,,Seguir marcas que les gustan,57.0,Twitter,58.0
Arabia Saudita,,,Seguir marcas que les gustan,57.0,WhatsApp,73.0
Arabia Saudita,,,Descubrir marcas a través de comentarios,23.0,Facebook,64.0
Arabia Saudita,,,Descubrir marcas a través de comentarios,23.0,FB Messenger,41.0
Arabia Saudita,,,Descubrir marcas a través de comentarios,23.0,Instagram,62.0
Arabia Saudita,,,Descubrir marcas a través de comentarios,23.0,Snapchat,47.0
Arabia Saudita,,,Descubrir marcas a través de comentarios,23.0,Twitter,58.0
Arabia Saudita,,,Descubrir marcas a través de comentarios,23.0,WhatsApp,73.0
Arabia Saudita,,,Investigar productos/marcas usando redes sociales,57.0,Facebook,64.0
Arabia Saudita,,,Investigar productos/marcas usando redes sociales,57.0,FB Messenger,41.0
Arabia Saudita,,,Investigar productos/marcas usando redes sociales,57.0,Instagram,62.0
Arabia Saudita,,,Investigar productos/marcas usando redes sociales,57.0,Snapchat,47.0
Arabia Saudita,,,Investigar productos/marcas usando redes sociales,57.0,Twitter,58.0
Arabia Saudita,,,Investigar productos/marcas usando redes sociales,57.0,WhatsApp,73.0
Arabia Saudita,,,Motivar compras a través de 'Me gusta',28.0,Facebook,64.0
Arabia Saudita,,,Motivar compras a través de 'Me gusta',28.0,FB Messenger,41.0
Arabia Saudita,,,Motivar compras a través de 'Me gusta',28.0,Instagram,62.0
Arabia Saudita,,,Motivar compras a través de 'Me gusta',28.0,Snapchat,47.0
Arabia Saudita,,,Motivar compras a través de 'Me gusta',28.0,Twitter,58.0
Arabia Saudita,,,Motivar compras a través de 'Me gusta',28.0,WhatsApp,73.0
Arabia Saudita,,,Motivar compras a través del botón 'Comprar',15.0,Facebook,64.0
Arabia Saudita,,,Motivar compras a través del botón 'Comprar',15.0,FB Messenger,41.0
Arabia Saudita,,,Motivar compras a través del botón 'Comprar',15.0,Instagram,62.0
Arabia Saudita,,,Motivar compras a través del botón 'Comprar',15.0,Snapchat,47.0
Arabia Saudita,,,Motivar compras a través del botón 'Comprar',15.0,Twitter,58.0
