Author and Year;Study Design;Study Period;Country;Equity;Participants;Mean Age [Range];Risk of Bias;Number of dp;MA?;Exposure;Exposure Measure;Outcome Measure;N
Anastario 2020;Cross-sectional;NR;USA;High income country;"Youth attending 5 schools located on or near a tribal reservation in Montana";"15.7 [14-18]";Mod;2;Yes;"Freq. of SM use";"Freq. of using Twitter to talk or learn about sex or any topic related to sex";"No use of a condom at last sexual encounter";146
Anastario 2020;Cross-sectional;NR;USA;High income country;"Youth attending 5 schools located on or near a tribal reservation in Montana";"15.7 [14-18]";Mod;2;Yes;"Freq. of SM use";"Freq. of using Facebook to talk or learn about sex or any topic related to sex";"No use of a condom at last sexual encounter";146
Baker 2016;Cross-sectional;2009;USA;High income country;"Grade 6-12 urban school district students part of a federally funded project on school related initiatives";NR;High;3;Yes;"Freq. of SM use";"Freq. of SNS use";"Soft drug use (smoking, marijuana, alcohol) in the past month";3195
Baker 2016;Cross-sectional;2009;USA;High income country;"Grade 6-12 urban school district students part of a federally funded project on school related initiatives";NR;High;3;Yes;"Freq. of SNS use";"Hard drug use (lifetime and past year)";"";3195
Baldwin 2018;Cross-sectional;2014;Australia;High income country with mixed SEP;Adolescents residing in New South Wales;"NR [10-16]";Low;7;Yes;"Exposure to health-risk behaviour content";"Watched food/beverage brand YouTube videos";"Freq. of unhealthy food consumption";36
Baldwin 2018;Cross-sectional;2014;Australia;High income country with mixed SEP;Adolescents residing in New South Wales;"NR [10-16]";Low;7;Yes;"Exposure to health-risk behaviour content";"Seen favourite food advertised on SM";"Freq. of unhealthy food consumption";417
Baldwin 2018;Cross-sectional;2014;Australia;High income country with mixed SEP;Adolescents residing in New South Wales;"NR [10-16]";Low;7;Yes;"Exposure to health-risk behaviour content";"Liked a food/beverage brand on Facebook";"Freq. of unhealthy food consumption";417
Baldwin 2018;Cross-sectional;2014;Australia;High income country with mixed SEP;Adolescents residing in New South Wales;"NR [10-16]";Low;7;Yes;"Exposure to health-risk behaviour content";"Seen favourite food advertised on SM";"Freq. of unhealthy drink consumption";204
Ball 2020;Repeat cross-sectional;2016 & 2018;New Zealand;High income country with mixed SEP;Year 10 students' part of the Youth Insights Survey;"NR [14-15]";Low;2;Yes;"Freq. of SM use";"Freq. of using SM (status updates, uploading photos or videos) in the past week";"Freq. of online gambling in the past week";417
Baru 2020;Cross-sectional;2019;Ethiopia;Low-middle income country with mixed SEP;Sexually active unmarried young female internal migrants residing in Barayu Town;"18.9 [15-24]";High;1;Yes;"Freq. of SM use";"Freq. of online communication";"";204
Baumgartner 2012;Cohort;2018;Netherlands;High income country;Elementary and high school students residing in North Cyprus;"14.4 [NR]";Mod;1;Yes;"Freq. of SM use";"Presence of internet chat room use";"Risk sexual behaviour (incl. multiple sexual partners; sex without condoms or inconsistent condom use; initiation of sex before the age of 18 years; sexual intercourse under the influence of substances)";3728
Beebe 2004;Cross-sectional;2001;USA;High income country;Grade 9 school students' part of the Minnesota Student Survey;"14.7 [13-17]";High;12;Yes;"Freq. of SM use";"Presence of internet chat room use";"Internet gambling practices (not via SM) at least once per week";686
Boers 2020;Cohort;NR;Canada;High income country with low SEP;Grade 7 school students, part of the Co-Venture Preventure study;"12.7 [NR]";Low;1;Yes;"Time spent on SM";"Current smoking (defined as smoking at least monthly)";"Tobacco use in the past year";5127
Boers 2020;Cohort;NR;Canada;High income country with low SEP;Grade 7 school students, part of the Co-Venture Preventure study;"12.7 [NR]";Low;1;Yes;"Time spent on SM";"Current smoking (defined as smoking at least monthly)";"Alcohol/drug use in the past year";5127
Boniel-Nissim 2022;Cross-sectional;2017-2018;42 countries and regions across Europe, North America, and the Middle East;High income country with mixed SEP;School students, part of the Health Behaviour in School-aged Children Survey;"13.6 [11-15]";Low;4;Yes;"Freq. of SM use";"Freq. of online contact with others via SM (via validated tool)";"Smoking (≥1 × in the last month) (via validated tool)";173577
Boniel-Nissim 2022;Cross-sectional;2017-2018;42 countries and regions across Europe, North America, and the Middle East;High income country with mixed SEP;School students, part of the Health Behaviour in School-aged Children Survey;"13.6 [11-15]";Low;4;Yes;"Freq. of SM use";"Freq. of online contact with others via SM (via validated tool)";"Alcohol consumption (≥3 × in the last month) (via validated tool)";172723
Booker 2015;Cohort;NR;UK;High income country;Sample members of the youth panel of The UK Household Longitudinal Study;"NR [10-15]";Low;4;No;"Time spent on SM";"Change in hrs of SM use per day (Δ=T2–T1)";"Conduct problems in the past year (via SDQ)";763
Booker 2015;Cohort;NR;UK;High income country;Sample members of the youth panel of The UK Household Longitudinal Study;"NR [10-15]";Low;4;No;"Time spent on SM";"Change in hrs of SM use per day (Δ=T2–T1)";"Sports participation";763
Brunborg 2022;Cohort;2017-2020;Norway;High income country with mixed SEP;Middle school adolescents' part of the MyLife Study;"14.3 [12.8-16.8]";Mod;1;No;"Time spent on SM";"Freq. of online gambling participation in the past 3 months";"Change in alcohol use (via AUDIT-C)";3096
Camenga 2018;Cohort;2013-2014;USA;High income country with mixed SEP;High and middle school students' part of a longitudinal school-based cohort study;"14.1 [NR]";High;4;Yes;"Exposure to health-risk behaviour content";"Ever e-cigarette use";"Exposure to e-cigarette advertisements on Facebook";1742
Camenga 2018;Cohort;2013-2014;USA;High income country with mixed SEP;High and middle school students' part of a longitudinal school-based cohort study;"14.1 [NR]";High;4;Yes;"Exposure to health-risk behaviour content";"Ever e-cigarette use";"Exposure to e-cigarette advertisements on Twitter";1742
Camenga 2018;Cohort;2013-2014;USA;High income country with mixed SEP;High and middle school students' part of a longitudinal school-based cohort study;"14.1 [NR]";High;4;Yes;"Exposure to health-risk behaviour content";"Ever e-cigarette use";"Exposure to e-cigarette advertisements on YouTube";1742
Camenga 2018;Cohort;2013-2014;USA;High income country with mixed SEP;High and middle school students' part of a longitudinal school-based cohort study;"14.1 [NR]";High;4;Yes;"Exposure to health-risk behaviour content";"Ever e-cigarette use";"Exposure to e-cigarette advertisements on Pinterest/Google +";1742
Canale 2016;Cross-sectional;2013;Italy;High income country with mixed SEP;High school students' part of the European School Survey Project on Alcohol and Other Drugs Italia;"17.2 [15-19]";Low;3;Yes;"Freq. of SM use";"Sports frequency 1-3 days per year";"Freq. of online gambling in past year";14478
Canale 2016;Cross-sectional;2013;Italy;High income country with mixed SEP;High school students' part of the European School Survey Project on Alcohol and Other Drugs Italia;"17.2 [15-19]";Low;3;Yes;"Freq. of SM use";"Sports frequency 1-3 days per week";"Freq. of online gambling in past year";14478
Casaló 2022;Cross-sectional;2016-2017;Spain;High income country with mixed SEP;Secondary education students, part of the National Survey on Drug Use Among High School Students in Spain;"NR [14-18]";Low;4;Yes;"Time spent on SM";"Time spent on SNS per day";"Problem gambling (via SOGS-RA)";35369
Casaló 2022;Cross-sectional;2016-2017;Spain;High income country with mixed SEP;Secondary education students, part of the National Survey on Drug Use Among High School Students in Spain;"NR [14-18]";Low;4;Yes;"Time spent on SM";"Time spent on SNS per day";"At-risk gambling (via SOGS-RA)";35369
Cavazos-Rehg 2014;Cross-sectional;2011;USA;High income country with mixed SEP;Grade 6-12 school students' part of the National Youth Tobacco Survey;"NR [11-17]";High;1;Yes;"Exposure to health-risk behaviour content";"Used any form of tobacco in the past month";"Exposure to tobacco ads/promotions via Facebook/Myspace in the past month";15673
Chang 2016;Cohort;2010-2011;Taiwan;High income country with mixed SEP;Grade 10 students from 26 high schools in Taipei City and New Taipei City;NR;High;2;Yes;"Freq. of SM use";"Freq. of chat room use during past week";"Freq. of SM use";1981
Chang 2016;Cohort;2010-2011;Taiwan;High income country with mixed SEP;Grade 10 students from 26 high schools in Taipei City and New Taipei City;NR;High;2;Yes;"Freq. of SM use";"Freq. of online game use during past week";"Freq. of SM use";1981
Chapin 2018;Cross-sectional;2016-2017;USA;High income country with mixed SEP;Middle and high school students' part of the Empowering Latino Youth Project evaluation;"14.1 [12-18]";High;2;No;"Other SM activities";"Experience with risky selfie (anti-social) behaviour";"Number of SM platforms used";1167
Chapin 2018;Cross-sectional;2016-2017;USA;High income country with mixed SEP;Middle and high school students' part of the Empowering Latino Youth Project evaluation;"14.1 [12-18]";High;2;No;"Other SM activities";"Experience with risky selfie (anti-social) behaviour";"Number of SM platforms used";1167
Chau 2022;Cross-sectional;2010;France;High income country with mixed SEP;Students attending 3 middle schools (2 public and 1 private) in the Lorraine region of North-eastern France;"13.5 [10-18]";Mod;5;Yes;"Time spent on SM";"Time spent on SM";"Incidence of unwanted online sexual solicitation perpetration in the past year";1559
Chau 2022;Cross-sectional;2010;France;High income country with mixed SEP;Students attending 3 middle schools (2 public and 1 private) in the Lorraine region of North-eastern France;"13.5 [10-18]";Mod;5;Yes;"Time spent on SM";"Time spent on discussion forums and chatting online during a weekday";"Experience with face-to-face violence (perpetration) in the past month";1559
Chau 2022;Cross-sectional;2010;France;High income country with mixed SEP;Students attending 3 middle schools (2 public and 1 private) in the Lorraine region of North-eastern France;"13.5 [10-18]";Mod;5;Yes;"Time spent on SM";"Time spent on SM on a regular weekday and weekend day";"Tobacco use in the past month";1559
